Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:proph:163515,Prophage,NA,hypothetical protein,SH1787,NA,NA,NA,NA,NA,NA
gene:plasmid:25220,IS,NA,transposase/IS protein,pWR501_0094,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1291,0
gene:plasmid:92552,IS,NA,transposase IS3/IS911 family protein,Swit_4903,ISSphsp2,IS3,IS150,Sphingobium sp.,418,3.00E-117
gene:vir:4725,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:125194,Plasmid,PTTREG,tRNA,TM1040_R0085,NA,NA,NA,NA,NA,NA
gene:plasmid:134974,Plasmid,PTTREG,tRNA,TM1040_R0052,NA,NA,NA,NA,NA,NA
gene:plasmid:126384,Plasmid,Unclassified plasmid gene,Orf269,pSK639_p04,NA,NA,NA,NA,NA,NA
gene:plasmid:153771,TE,NA,DNA integrase,pTB11p37,TnAs3,NA,NA,Aeromonas salmonicida,2002,0
gene:plasmid:115899,IS,NA,hypothetical protein,Rms149_p49,ISPa38,Tn3,None,Pseudomonas aeruginosa,291,4.00E-79
gene:plasmid:124047,Plasmid,Plasmid biosynthesis_regulatory_enzymes,DNA adenine-specific methyltransferase,pCPF4969_12,NA,NA,NA,NA,NA,NA
gene:vir:675,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|371|Tn5252-like|GenBank|FM178797|1..8966,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19665,Plasmid,Hypothetical plasmid protein,hypothetical protein,D742_p2017,NA,NA,NA,NA,NA,NA
gene:vir:108016,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:111029,Plasmid,Hypothetical plasmid protein,hypothetical protein,pE194p6,NA,NA,NA,NA,NA,NA
gene:plasmid:24217,IS,NA,transposase,HCM1.162c,IS6100,IS6,None,Mycobacterium fortuitum,1516,0
gene:plasmid:16009,Plasmid,Hypothetical plasmid protein,hypothetical protein,p165897_080,NA,NA,NA,NA,NA,NA
gene:plasmid:139559,Plasmid,PTTREG,rRNA,RS_RS21705,NA,NA,NA,NA,NA,NA
gene:plasmid:93386,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279b_p27,NA,NA,NA,NA,NA,NA
gene:plasmid:28806,Plasmid,Hypothetical plasmid protein,hypothetical protein,SAVP008,NA,NA,NA,NA,NA,NA
gene:plasmid:109145,IS,NA,transposase,P91278ORF_016,ISVsa3,IS91,None,Vibrio salmonicida,1832,0
gene:plasmid:11343,IS,NA,hypothetical protein,AGR_pAT_536,ISAtu4,IS3,IS51,Agrobacterium tumefaciens,577,4.00E-165
gene:plasmid:25509,IS,NA,transposase/IS protein,CP0089,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1283,0
gene:proph:163552,Prophage,NA,hypothetical protein,SH2385,NA,NA,NA,NA,NA,NA
gene:plasmid:126207,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,molecular chaperone GroES,RHE_PF00329,NA,NA,NA,NA,NA,NA
gene:plasmid:115900,IS,NA,hypothetical protein,Rms149_p50,ISPa38,Tn3,None,Pseudomonas aeruginosa,450,6.00E-127
gene:plasmid:24436,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.0114c,NA,NA,NA,NA,NA,NA
gene:proph:182929,IS,NA,"IS1, transposase orfA",EcHS_A1652,IS1G,IS1,None,Escherichia coli,539,8.00E-154
gene:plasmid:28582,TE,NA,beta-lactamase,pOX7-3_p1,Tn3,NA,NA,Salmonella enterica,1691,0
gene:plasmid:130531,Plasmid,Hypothetical plasmid protein,hypothetical protein,pKB1_p051,NA,NA,NA,NA,NA,NA
gene:plasmid:151228,IS,NA,transposase/IS protein,pCoo077,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1499,0
gene:proph:177498,Prophage,NA,cell killing protein encoded within cryptic prophage CP-933M,Z1342,NA,NA,NA,NA,NA,NA
gene:proph:179453,Prophage,NA,DNA packaging protein of prophage,c3167,NA,NA,NA,NA,NA,NA
gene:plasmid:14894,Plasmid,Plasmid non_conjugative efflux_transport,putative ABC transporter ATP-binding protein,pA505_p08,NA,NA,NA,NA,NA,NA
gene:proph:174232,Prophage,NA,hypothetical protein,CKL_2621,NA,NA,NA,NA,NA,NA
gene:vir:9947,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:103535,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14698,Plasmid,Hypothetical plasmid protein,hypothetical protein,CE3P028,NA,NA,NA,NA,NA,NA
gene:plasmid:86101,IS,NA,hypothetical protein,Rsph17025_3471,ISPam3,IS3,IS407,Paracoccus aminophilus,1259,0
gene:plasmid:133616,IS,NA,transposase A,pCAR3_073,ISGbe1,IS3,IS407,Granulibacter bethesdensis,283,7.00E-77
gene:plasmid:15675,Plasmid,Hypothetical plasmid protein,hypothetical protein,pRUM_p30,NA,NA,NA,NA,NA,NA
gene:plasmid:28689,IS,NA,putative transposase TnpB,pSK41_p18,IS257R1,IS6,None,Staphylococcus aureus,1338,0
gene:plasmid:123317,Plasmid,Plasmid biosynthesis_regulatory_enzymes,IucD,O2ColV14,NA,NA,NA,NA,NA,NA
gene:plasmid:24558,IS,NA,IS1 transposase,R27_p094,IS1G,IS1,None,Escherichia coli,563,6.00E-161
gene:plasmid:24434,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.0112c,NA,NA,NA,NA,NA,NA
gene:plasmid:132138,Plasmid,Plasmid relaxase and mobilization machinery,relaxase/mobilization nuclease domain-containing protein,LACR_C18,NA,NA,NA,NA,NA,NA
gene:vir:3945,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19430,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:14664,Plasmid,Hypothetical plasmid protein,hypothetical protein,CE2P009,NA,NA,NA,NA,NA,NA
gene:plasmid:20557,IS,NA,transposase,D786_p084,ISPre1,IS5,IS5,Pseudomonas resinovorans,1945,0
gene:plasmid:155272,Plasmid,PTTREG,transcriptional repressor,pPB1_01,NA,NA,NA,NA,NA,NA
gene:plasmid:88456,IS,NA,hypothetical protein,KPN_pKPN3p05907,ISKpn21,ISNCY,IS1202,Klebsiella pneumoniae,1279,0
gene:vir:105412,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:15971,Plasmid,Hypothetical plasmid protein,hypothetical protein,p165897_042,NA,NA,NA,NA,NA,NA
gene:plasmid:24366,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.0042c,NA,NA,NA,NA,NA,NA
gene:plasmid:23955,IS,NA,putative transposase,PBD2.161,ISRer1,IS1380,None,Rhodococcus erythropolis,2765,0
gene:plasmid:15672,Plasmid,Plasmid relaxase and mobilization machinery,rlx protein,pRUM_p27,NA,NA,NA,NA,NA,NA
gene:plasmid:156369,Plasmid,Plasmid secretion or conjugation machinery,putative PrgN protein,pVEF226,NA,NA,NA,NA,NA,NA
gene:plasmid:125525,Plasmid,Hypothetical plasmid protein,hypothetical protein,Ajs_4313,NA,NA,NA,NA,NA,NA
gene:plasmid:145692,Plasmid,Plasmid non_conjugative efflux_transport,MgtC/SapB transporter,Pcryo_2508,NA,NA,NA,NA,NA,NA
gene:plasmid:17316,Plasmid,Plasmid relaxase and mobilization machinery,putative mobilization protein,pNZ4000_33,NA,NA,NA,NA,NA,NA
gene:plasmid:18153,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,putative DNA partition protein,pSD10p3,NA,NA,NA,NA,NA,NA
gene:vir:101420,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:176803,Prophage,NA,Holliday junction resolvase,APECO1_1033,NA,NA,NA,NA,NA,NA
gene:proph:163977,IS,NA,insertion element iso-IS1d protein InsA,SDY_2763,IS1SD,IS1,None,Shigella dysenteriae,539,8.00E-154
gene:plasmid:138693,Plasmid,Unclassified plasmid gene,None,pSW49_02,NA,NA,NA,NA,NA,NA
gene:vir:511,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:175581,Prophage,NA,phage protein,MGAS10270_Spy0554,NA,NA,NA,NA,NA,NA
gene:vir:3584,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154093,IS,NA,transposase for IS26,SMR0103,IS26,IS6,None,Proteus vulgaris,1421,0
gene:plasmid:152246,IS,NA,truncated IS431mec-like transposase,SEA0021,IS431mec,IS6,None,Staphylococcus aureus,1098,0
gene:plasmid:147508,TE,NA,putative mercuric reductase,Shewana3_4311,TnAs3,NA,NA,Aeromonas salmonicida,67.9,5.00E-11
gene:vir:79557,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:157784,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSF118-20_23,NA,NA,NA,NA,NA,NA
gene:plasmid:92419,TE,NA,type A-13 chloramphenicol O-acetyltransferase,ASA_RS22240,TnAs3,NA,NA,Aeromonas salmonicida,1237,0
gene:proph:179714,Prophage,NA,phage protein,M6_Spy1148,NA,NA,NA,NA,NA,NA
gene:proph:171850,Prophage,NA,hypothetical protein,Meso_3830,NA,NA,NA,NA,NA,NA
gene:plasmid:90631,IS,NA,hypothetical protein,Bcep1808_7242,ISPa38,Tn3,None,Pseudomonas aeruginosa,648,0
gene:proph:163021,Prophage,NA,hypothetical protein,llmg_2266,NA,NA,NA,NA,NA,NA
gene:plasmid:135374,IS,NA,"ISPps1, transposase",AAur_pTC10222,ISPps1,IS91,None,Pseudomonas huttiensis,3069,0
ICEberg|313|ICESsu98HAH33-1|GenBank|CP000408|887958..905988,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:7189,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:114985,Plasmid,Unclassified plasmid gene,None,pCollet_08,NA,NA,NA,NA,NA,NA
gene:proph:172012,Prophage,NA,hypothetical protein,Dde_0915,NA,NA,NA,NA,NA,NA
gene:plasmid:118740,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,type II toxin-antitoxin system RelE/ParE family toxin,TTH_RS11325,NA,NA,NA,NA,NA,NA
gene:plasmid:139663,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2R_53,NA,NA,NA,NA,NA,NA
gene:vir:108843,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:151816,Plasmid,Hypothetical plasmid protein,hypothetical protein,pND324p2,NA,NA,NA,NA,NA,NA
gene:proph:168362,Prophage,NA,phage TraR/DksA family protein,Psyc_0478,NA,NA,NA,NA,NA,NA
gene:plasmid:18196,Plasmid,Unclassified plasmid gene,putative proteophosphoglycan,pSD10p46,NA,NA,NA,NA,NA,NA
gene:plasmid:134670,Plasmid,PTTREG,tRNA,TM1040_R0069,NA,NA,NA,NA,NA,NA
gene:plasmid:117799,Plasmid ARG,Plasmid ARG,chloramphenicol acetyl transferase II,SC011,NA,NA,NA,NA,NA,NA
gene:plasmid:109495,Plasmid,PREPIM,RepA,pCC2228-2_01,NA,NA,NA,NA,NA,NA
gene:plasmid:14790,Plasmid,Unclassified plasmid gene,Yga2B,pGA2_p06,NA,NA,NA,NA,NA,NA
repUS14__repA(VRSAp)_AP003367,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
IncFII(pHN7A8)_1_pHN7A8_JN232517,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:107139,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154993,Plasmid,Plasmid biosynthesis_regulatory_enzymes,short-chain dehydrogenase/reductase SDR,Pden_4982,NA,NA,NA,NA,NA,NA
gene:plasmid:135960,Plasmid,Plasmid transposition_recombination_integration,"site-specific recombinase, DNA invertase Pin related protein",LACR_D15,NA,NA,NA,NA,NA,NA
gene:proph:161180,Prophage,NA,phage protein,Amet_4026,NA,NA,NA,NA,NA,NA
gene:vir:6946,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:136291,Plasmid,Plasmid biosynthesis_regulatory_enzymes,phosphoglucosamine mutase,P99018ORF_025,NA,NA,NA,NA,NA,NA
gene:plasmid:154026,Plasmid ARG,Plasmid ARG,copper-binding protein,SMR0152,NA,NA,NA,NA,NA,NA
gene:plasmid:85796,Plasmid,Hypothetical plasmid protein,hypothetical protein,Rsph17025_3707,NA,NA,NA,NA,NA,NA
gene:proph:181056,Prophage,NA,capsid completion protein,UTI89_C0935,NA,NA,NA,NA,NA,NA
gene:vir:101401,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154449,IS,NA,transposase of IS6100,pFBAOT6.39,IS6100,IS6,None,Mycobacterium fortuitum,1576,0
gene:plasmid:145635,Plasmid,Hypothetical plasmid protein,hypothetical protein PCP41 homolog,Manual,NA,NA,NA,NA,NA,NA
gene:plasmid:154032,Plasmid,Plasmid non_conjugative efflux_transport,sodium/glutamate symport carrier protein,SMR0227,NA,NA,NA,NA,NA,NA
gene:vir:103577,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17001,TE,NA,transposase,pJHCMW1_p3,Tn3,NA,NA,Salmonella enterica,5943,0
gene:vir:103546,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:168351,Prophage,NA,hypothetical protein,Psyc_0467,NA,NA,NA,NA,NA,NA
gene:vir:5691,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:107143,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181034,Prophage,NA,bacteriophage late gene regulator,UTI89_C0913,NA,NA,NA,NA,NA,NA
rep20_10_repA(SAP057A)_NC_013334.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:158889,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:14891,Plasmid,Unclassified plasmid gene,putative transcriptional regulator,pA505_p05,NA,NA,NA,NA,NA,NA
gene:proph:182973,Prophage,NA,replication gene A protein,EcHS_A0918,NA,NA,NA,NA,NA,NA
gene:proph:181657,Prophage,NA,phage protein,M28_Spy1812,NA,NA,NA,NA,NA,NA
gene:proph:179709,Prophage,NA,adenine-specific methyltransferase,M6_Spy1144,NA,NA,NA,NA,NA,NA
gene:vir:6907,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:156389,Plasmid,Hypothetical plasmid protein,hypothetical protein,pVEF212,NA,NA,NA,NA,NA,NA
gene:plasmid:158819,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:proph:177446,Prophage,NA,hypothetical protein,Z1844,NA,NA,NA,NA,NA,NA
gene:vir:102920,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:182986,Prophage,NA,phage lysozyme,EcHS_A0931,NA,NA,NA,NA,NA,NA
gene:vir:6673,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:92157,IS,NA,transposase for IS26,KPN_pKPN4p07063,IS15DIV,IS6,None,Salmonella typhimurium,765,0
gene:vir:101408,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6061,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:20773,IS,NA,putative transposase,pADP-1_p034,IS1071,Tn3,None,Alcaligenes sp.,5737,0
gene:proph:181867,IS,NA,transposase,A1S_0628,ISAba12,IS5,IS903,Acinetobacter baumannii,1721,0
gene:proph:170197,IS,NA,"IS511, transposase OrfB",ELI_00765,ISEli1,IS3,IS407,Erythrobacter litoralis,1695,0
gene:plasmid:125564,Plasmid,Hypothetical plasmid protein,hypothetical protein,Ajs_4251,NA,NA,NA,NA,NA,NA
gene:proph:167227,IS,NA,IS431mec-like transposase,SERP1583,IS257R1,IS6,None,Staphylococcus aureus,603,7.00E-173
rep6_1_repA(p703/5)_AF109375,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:155269,Plasmid,PREPIM,replication initiation protein,pACK6_p01,NA,NA,NA,NA,NA,NA
gene:vir:101347,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135987,Plasmid,Plasmid biosynthesis_regulatory_enzymes,"tagatose 1,6-diphosphate aldolase",LACR_D03,NA,NA,NA,NA,NA,NA
gene:plasmid:154763,Plasmid,Plasmid biosynthesis_regulatory_enzymes,aldo/keto reductase,Pden_4574,NA,NA,NA,NA,NA,NA
gene:plasmid:15290,TE,NA,TniA,pUO1_28,TnAs3,NA,NA,Aeromonas salmonicida,1382,0
gene:plasmid:84425,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,colicin E1 protein,SSON_PB01,NA,NA,NA,NA,NA,NA
gene:proph:181039,Prophage,NA,phage tail protein,UTI89_C0918,NA,NA,NA,NA,NA,NA
gene:plasmid:14401,Plasmid,Plasmid biosynthesis_regulatory_enzymes,mannose-specific phosphotransferase system component IIAB,CA_P0066,NA,NA,NA,NA,NA,NA
gene:plasmid:120659,Plasmid,Plasmid transposition_recombination_integration,transposase,LEUM_A33,NA,NA,NA,NA,NA,NA
gene:vir:95780,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14320,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCTX-M3_095,NA,NA,NA,NA,NA,NA
gene:plasmid:147580,Plasmid,PREPIM,replication initiator protein,SAUSA300_pUSA030001,NA,NA,NA,NA,NA,NA
gene:vir:102956,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|232|ICESsu(BM407)1|GenBank|FM252032|504649..580365,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:101418,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:147260,Plasmid,Unclassified plasmid gene,None,p29807_01,NA,NA,NA,NA,NA,NA
gene:plasmid:139664,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2R_52,NA,NA,NA,NA,NA,NA
gene:plasmid:17259,Plasmid,PTTREG,putative translational regulator CitQ,pCRL1127_03,NA,NA,NA,NA,NA,NA
gene:vir:101386,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163818,Prophage,NA,formate acetyltransferase,EcE24377A_1000,NA,NA,NA,NA,NA,NA
gene:plasmid:154414,Plasmid,Hypothetical plasmid protein,hypothetical protein,pFBAOT6.68,NA,NA,NA,NA,NA,NA
gene:proph:179740,Prophage,NA,phage protein,M6_Spy1235,NA,NA,NA,NA,NA,NA
gene:vir:93715,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:2026,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17452,IS,NA,transposase,pli0043,IS1216E,IS6,None,Enterococcus faecium,1376,0
gene:plasmid:121575,Plasmid,Hypothetical plasmid protein,hypothetical protein,LH0058,NA,NA,NA,NA,NA,NA
gene:plasmid:124061,Plasmid,Unclassified plasmid gene,None,pCPF4969_32,NA,NA,NA,NA,NA,NA
gene:vir:93974,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:110245,Plasmid,Plasmid biosynthesis_regulatory_enzymes,adenine methyltransferase,pCPF5603_05,NA,NA,NA,NA,NA,NA
gene:plasmid:24196,IS,NA,IS1 transposase,HCM1.136,IS1G,IS1,None,Escherichia coli,523,5.00E-149
gene:plasmid:24025,UNCLASSIFIED,NA,None,Manual,NA,NA,NA,NA,NA,NA
gene:plasmid:124934,Plasmid,Hypothetical plasmid protein,hypothetical protein,SSP_RS12385,NA,NA,NA,NA,NA,NA
gene:plasmid:28829,Plasmid,Plasmid transposition_recombination_integration,truncated resolvase,SAVP030,NA,NA,NA,NA,NA,NA
gene:plasmid:21259,Plasmid,Plasmid biosynthesis_regulatory_enzymes,peroxiredoxin,RS_RS18335,NA,NA,NA,NA,NA,NA
gene:vir:108916,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163174,Prophage,NA,hypothetical protein,SSP_RS09675,NA,NA,NA,NA,NA,NA
gene:plasmid:14788,Plasmid,Plasmid relaxase and mobilization machinery,TraA,pGA2_p04,NA,NA,NA,NA,NA,NA
gene:plasmid:157714,Plasmid,PREPIM,replication protein,L7009,NA,NA,NA,NA,NA,NA
gene:vir:108405,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:151267,IS,NA,None,pCoo062,IS1X2,IS1,None,Escherichia vulneris,912,0
gene:plasmid:158844,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:proph:182984,Prophage,NA,bacteriophage CI repressor protein,EcHS_A0911,NA,NA,NA,NA,NA,NA
gene:proph:183545,Prophage,NA,hypothetical protein,SFV_0246,NA,NA,NA,NA,NA,NA
gene:plasmid:158840,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:84429,Plasmid,PTTREG,RNAI modulator protein,SSON_PB05,NA,NA,NA,NA,NA,NA
gene:plasmid:139275,Plasmid,Plasmid biosynthesis_regulatory_enzymes,SDR family oxidoreductase,LSL_RS09895,NA,NA,NA,NA,NA,NA
gene:plasmid:153782,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:158602,Plasmid,Unclassified plasmid gene,putative ATP-binding protein,pRSB101_41,NA,NA,NA,NA,NA,NA
gene:plasmid:158158,Plasmid,Plasmid biosynthesis_regulatory_enzymes,cytochrome P450,RER_RS01335,NA,NA,NA,NA,NA,NA
IncA/C_1__FJ705807,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:25181,IS,NA,IS1 transposase,pWR501_0054,IS1X1,IS1,None,Shigella flexneri,967,0
gene:plasmid:130585,Plasmid,Hypothetical plasmid protein,hypothetical protein,pKB1_p055,NA,NA,NA,NA,NA,NA
gene:plasmid:139625,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2R_66,NA,NA,NA,NA,NA,NA
gene:plasmid:158557,TE,NA,None,pRSB101_14,TnAs3,NA,NA,Aeromonas salmonicida,351,2.00E-97
gene:plasmid:112452,Plasmid,Plasmid biosynthesis_regulatory_enzymes,ResA,pRA2_22,NA,NA,NA,NA,NA,NA
gene:proph:172525,Prophage,NA,hypothetical protein,ECs_1599,NA,NA,NA,NA,NA,NA
gene:proph:181081,Prophage,NA,hypothetical protein,UTI89_C2979,NA,NA,NA,NA,NA,NA
gene:vir:95292,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:103527,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:88445,IS,NA,IS1 transposase,KPN_pKPN3p05896,ISSen9,IS1,None,Salmonella enterica,848,0
gene:proph:160117,Prophage,NA,phage protein,MGAS10750_Spy0591,NA,NA,NA,NA,NA,NA
gene:plasmid:136288,Plasmid,Plasmid transposition_recombination_integration,resolvase,P99018ORF_022,NA,NA,NA,NA,NA,NA
gene:plasmid:123279,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2ColV47,NA,NA,NA,NA,NA,NA
gene:plasmid:19958,UNCLASSIFIED,NA,None,Manual,NA,NA,NA,NA,NA,NA
gene:plasmid:148396,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,ParA family protein,TTH_RS11015,NA,NA,NA,NA,NA,NA
gene:plasmid:115783,Plasmid,Plasmid transposition_recombination_integration,"site-specific recombinase, DNA invertase Pin related protein",LSEI_A20,NA,NA,NA,NA,NA,NA
gene:proph:171038,Prophage,NA,hypothetical protein,SAK_0728,NA,NA,NA,NA,NA,NA
gene:vir:103591,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:119252,Plasmid,Unclassified plasmid gene,None,YpIP275_pIP1202_0049,NA,NA,NA,NA,NA,NA
gene:vir:93940,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163924,IS,NA,None,EcE24377A_1773,ISEc17,IS3,IS3,Escherichia coli,1689,0
gene:plasmid:17137,Plasmid,Hypothetical plasmid protein,hypothetical protein,pMD5057_007,NA,NA,NA,NA,NA,NA
gene:plasmid:153739,TE,NA,NTP-binding protein,pTB11p43,TnAs3,NA,NA,Aeromonas salmonicida,1687,0
gene:vir:104267,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:3828,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:183696,Prophage,NA,DUF2634 domain-containing protein,EF_RS07140,NA,NA,NA,NA,NA,NA
gene:proph:168851,Prophage,NA,antitoxin HicB,SAG_RS11750,NA,NA,NA,NA,NA,NA
gene:plasmid:14651,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,ParB,pNG2_p12,NA,NA,NA,NA,NA,NA
gene:plasmid:15396,Plasmid,Plasmid secretion or conjugation machinery,TrbO,R751p43,NA,NA,NA,NA,NA,NA
gene:plasmid:148214,TE,NA,hypothetical protein,pC15-1a_019,Tn2,NA,NA,Escherichia coli,1106,0
gene:vir:4734,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154544,IS,NA,hypothetical protein,Pden_4537,ISPye33,IS66,None,Paracoccus yeei,115,4.00E-26
gene:plasmid:30820,IS,NA,transposase,YPMT1.58c,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
gene:vir:79598,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:184853,Prophage,NA,phage portal protein,LREU_RS05855,NA,NA,NA,NA,NA,NA
gene:vir:2050,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28798,Plasmid,Hypothetical plasmid protein,hypothetical protein,pUB101_p25,NA,NA,NA,NA,NA,NA
gene:plasmid:153804,Plasmid,Hypothetical plasmid protein,hypothetical protein,D763_p2007,NA,NA,NA,NA,NA,NA
gene:plasmid:85096,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p16,NA,NA,NA,NA,NA,NA
gene:plasmid:158846,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:123177,IS,NA,putative transposase,O2ColV194,ISEc38,ISL3,None,Escherichia coli,1197,0
gene:plasmid:155336,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSA1379_13,NA,NA,NA,NA,NA,NA
gene:plasmid:14675,Plasmid,Unclassified plasmid gene,putative transcriptional regulatory protein,CE3P005,NA,NA,NA,NA,NA,NA
gene:plasmid:147257,Plasmid,Unclassified plasmid gene,None,pSK41_p16,NA,NA,NA,NA,NA,NA
gene:plasmid:28803,Plasmid,Hypothetical plasmid protein,hypothetical protein,SAVP004,NA,NA,NA,NA,NA,NA
gene:proph:179689,Prophage,NA,S-adenosylmethionine synthetase,M6_Spy1147,NA,NA,NA,NA,NA,NA
gene:vir:103900,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181114,Prophage,NA,integrase-like protein,UTI89_C5085,NA,NA,NA,NA,NA,NA
gene:plasmid:91816,IS,NA,transposase,KPN_pKPN5p08206,IS15DI,IS6,None,Salmonella panama,1421,0
ICEberg|412|Tn1806|GenBank|CP002121|818751..870207,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:80670,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14741,Plasmid,Unclassified plasmid gene,Yag1C,pAG1_p15,NA,NA,NA,NA,NA,NA
gene:plasmid:157717,IS,NA,hypothetical protein,L7012,ISEc84,IS91,None,Escherichia coli,129,3.00E-30
